Year,Quarter,Revenue,Expenses,Profit,Assets,ROI,Profit_Margin,R&D_Expenses,Marketing_Expenses
2020,Q1,1250000,980000,270000,5200000,5.19,21.6,120000,180000
2020,Q2,1380000,1020000,360000,5300000,6.79,26.09,125000,190000
2020,Q3,1420000,1080000,340000,5400000,6.3,23.94,130000,195000
2020,Q4,1550000,1140000,410000,5600000,7.32,26.45,135000,200000
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2022,Q1,2050000,1400000,650000,6500000,10,31.71,160000,250000
2022,Q2,2180000,1460000,720000,6700000,10.75,33.03,165000,260000
2022,Q3,2250000,1520000,730000,6900000,10.58,32.44,170000,270000
2022,Q4,2420000,1580000,840000,7100000,11.83,34.71,175000,280000
2023,Q1,2480000,1640000,840000,7300000,11.51,33.87,180000,290000
2023,Q2,2610000,1700000,910000,7500000,12.13,34.87,185000,300000
2023,Q3,2680000,1760000,920000,7700000,11.95,34.33,190000,310000
